City,SubArea,Date,Address,BuildingType,LandArea,BuiltUp,PricePsf,Price
semenyih,crest-hill-industrial-park-2,21/08/2017,"✕✕✕, CREST HILL INDUSTRIAL PARK 2",SEMI-D FACTORY,"12,094 ft²","4,613 ft²",165,"2,000,000"
semenyih,crest-hill-industrial-park-2,08/07/2015,"✕✕ ✕, CREST HILL INDUSTRIAL PARK 2",SEMI-D FACTORY,"11,933 ft²","4,613 ft²",236,"2,820,000"
semenyih,crest-hill-industrial-park-2,10/11/2014,"✕✕ ✕, CREST HILL INDUSTRIAL PARK 2",SEMI-D FACTORY,"12,258 ft²","4,613 ft²",230,"2,820,000"
semenyih,crest-hill-industrial-park-2,07/11/2014,"✕✕ ✕, CREST HILL INDUSTRIAL PARK 2",SEMI-D FACTORY,"16,808 ft²","5,252 ft²",255,"4,286,000"
semenyih,crest-hill-industrial-park-2,07/11/2014,"✕✕ ✕, CREST HILL INDUSTRIAL PARK 2",SEMI-D FACTORY,"11,895 ft²","4,613 ft²",237,"2,820,000"
semenyih,crest-hill-industrial-park-2,,,,,,,
semenyih,perindustrian-lekas-18,26/08/2015,"✕, JALAN 1",SEMI-D FACTORY,"11,298 ft²","4,301 ft²",414,"4,680,000"
semenyih,perindustrian-lekas-18,12/08/2015,"✕✕ ✕✕, JALAN 1",SEMI-D FACTORY,"11,287 ft²","4,301 ft²",425,"4,800,000"
semenyih,perindustrian-lekas-18,11/08/2015,"✕✕.✕, JALAN 2",SEMI-D FACTORY,"14,347 ft²","3,923 ft²",202,"2,900,000"
semenyih,perindustrian-lekas-18,04/02/2015,"✕, JALAN 1",SEMI-D FACTORY,"11,320 ft²","3,376 ft²",380,"4,300,000"
semenyih,perindustrian-lekas-18,07/06/2011,"✕, JALAN 2, KAWASAN PERINDUSTRIAN LEKAS 18",SEMI-D FACTORY,"10,693 ft²","3,376 ft²",213,"2,280,000"
semenyih,perindustrian-lekas-18,03/06/2011,"✕, JALAN 2, KAWASAN PERINDUSTRIAN LEKAS 18",SEMI-D FACTORY,"10,725 ft²","3,376 ft²",213,"2,280,000"
semenyih,perindustrian-lekas-18,,,,,,,
semenyih,kawasan-perusahaan-ria-kajang,19/09/2016,"✕✕, JALAN RIA 4",TERRACE FACTORY - INTERMEDIATE,"2,000 ft²","3,812 ft²",450,"900,000"
semenyih,kawasan-perusahaan-ria-kajang,02/02/2016,"✕✕, JALAN RIA 4",TERRACE FACTORY - INTERMEDIATE,"2,000 ft²","3,812 ft²",400,"800,000"
semenyih,kawasan-perusahaan-ria-kajang,30/12/2013,"✕✕, JALAN RIA 4",TERRACE FACTORY - INTERMEDIATE,"2,000 ft²","3,812 ft²",413,"825,000"
semenyih,kawasan-perusahaan-ria-kajang,30/12/2013,"✕✕, JALAN RIA 4",TERRACE FACTORY - INTERMEDIATE,"2,000 ft²","3,375 ft²",413,"825,000"
semenyih,kawasan-perusahaan-ria-kajang,30/12/2013,"✕✕, JALAN RIA 4",TERRACE FACTORY - INTERMEDIATE,"2,000 ft²","3,375 ft²",413,"825,000"
semenyih,kawasan-perusahaan-ria-kajang,30/12/2013,"✕, JALAN RIA 4",TERRACE FACTORY - INTERMEDIATE,"2,000 ft²","3,375 ft²",413,"825,000"
semenyih,kawasan-perusahaan-ria-kajang,,,,,,,
semenyih,kawasan-perindustrian-kajang-jaya--semenyih-,14/01/2015,"✕✕ ✕, JALAN KAJANG JAYA 1",DETACHED FACTORY,"24,294 ft²","6,136 ft²",337,"8,177,970"
semenyih,kawasan-perindustrian-kajang-jaya--semenyih-,17/12/2014,"✕✕ ✕, JALAN KAJANG JAYA 1",SEMI-D FACTORY,"21,119 ft²","3,947 ft²",338,"7,137,470"
semenyih,kawasan-perindustrian-kajang-jaya--semenyih-,17/12/2014,"✕✕ ✕, JALAN KAJANG JAYA 1",SEMI-D FACTORY,"18,126 ft²","3,947 ft²",372,"6,739,870"
