City,Year,CityAddress,BuildingType,LandArea,PricePsf
selayang,2014,"selayang, prima selayang",TERRACE FACTORY,"1,600",250
selayang,2014,"selayang, jalan ps 3",TERRACE FACTORY,"1,600",188
selayang,2016,"selayang, jalan perusahaan 1",SEMI-D FACTORY,"9,411",956
selayang,2016,"selayang, jalan perusahaan amari",SEMI-D FACTORY,"18,902",661
selayang,2016,"selayang, jalan perusahaan 1",SEMI-D FACTORY,"7,210",888
selayang,2015,"selayang, jalan perusahaan amari",SEMI-D FACTORY,"12,751",781
selayang,2015,"selayang, jalan perusahaan amari",SEMI-D FACTORY,"18,902",535
selayang,2014,"selayang, jalan perusahaan 1",SEMI-D FACTORY,"7,227",899
selayang,2014,"selayang, oo jalan perusahaan 1",SEMI-D FACTORY,"7,210",735
selayang,2014,"selayang, jalan perusahaan amari",SEMI-D FACTORY,"6,632",619
selayang,2014,"selayang, jalan perusahaan amari",SEMI-D FACTORY,"7,210",645
selayang,2013,"selayang, jalan perusahaan amari",SEMI-D FACTORY,"7,210",626
petaling jaya,2017,"petaling jaya, jalan pjs 5/26",SEMI-D FACTORY,"8,712",448
petaling jaya,2017,"petaling jaya, jalan pjs 5/26",SEMI-D FACTORY,"8,480",419
petaling jaya,2013,"petaling jaya, jalan pjs 5/26",SEMI-D FACTORY,"6,908",594
petaling jaya,2016,"petaling jaya, jalan 51/205, the highway centre",MULTI-STOREY FACTORY,"2,949",102
petaling jaya,2016,"petaling jaya, jalan 51/205, the highway centre",MULTI-STOREY FACTORY,"3,122",96
petaling jaya,2016,"petaling jaya, jalan 51/205",MULTI-STOREY FACTORY,"1,249",216
petaling jaya,2014,"petaling jaya, jalan 51/205 highway centre",MULTI-STOREY FACTORY,"1,938",361
petaling jaya,2016,"petaling jaya, jalan ss 26/15",TERRACE FACTORY - INTERMEDIATE,"2,160",903
petaling jaya,2016,"petaling jaya, jalan ss 26/15",TERRACE FACTORY - INTERMEDIATE,"2,160",851
petaling jaya,2015,"petaling jaya, jalan ss26/13",TERRACE FACTORY - INTERMEDIATE,"2,160",370
petaling jaya,2014,"petaling jaya, jalan ss 26/11",TERRACE FACTORY - INTERMEDIATE,"2,160",694
petaling jaya,2014,"petaling jaya, jalan ss 26/15",TERRACE FACTORY - INTERMEDIATE,"2,160",662
petaling jaya,2014,"petaling jaya, jalan ss 26/13",TERRACE FACTORY - CORNER LOT,"2,160",801
petaling jaya,2013,"petaling jaya, jalan ss 26/13",TERRACE FACTORY - INTERMEDIATE,"2,160",463
petaling jaya,2013,"petaling jaya, jalan ss 26/13",TERRACE FACTORY - INTERMEDIATE,"2,160",556
petaling jaya,2013,"petaling jaya, jalan ss 26/13",TERRACE FACTORY - INTERMEDIATE,"2,160",556
petaling jaya,2016,"petaling jaya, jalan pjs 1/21a",TERRACE FACTORY - INTERMEDIATE,"2,002",699
petaling jaya,2015,"petaling jaya, jalan pjs 1/21a",TERRACE FACTORY - INTERMEDIATE,"2,000",600
petaling jaya,2015,"petaling jaya, jalan pjs 1/21a",TERRACE FACTORY - INTERMEDIATE,"2,002",649
